number,title,assent_date,key_changes,bill_file,act_file,bill_url,act_url,zip_file,status
11,"The Constitution (Eleventh Amendment) Act, 1961",1961-12-19,Amended Articles 66 and 71 to provide for election of the Vice President by an electoral college of members of both Houses of Parliament instead of a joint sitting.,AMENDMENT_11_BILL.pdf,AMENDMENT_11_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/66_1961_LS_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030288-2.pdf,AMENDMENT_11_19121961.zip,OK
12,"The Constitution (Twelfth Amendment) Act, 1962",1962-03-27,"Amended Article 240 and the First Schedule to incorporate Goa, Daman and Diu as a Union Territory, consequent to acquisition from Portugal.",AMENDMENT_12_BILL.pdf,AMENDMENT_12_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/3_1962_LS_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030274-1.pdf,AMENDMENT_12_20121961.zip,OK
13,"The Constitution (Thirteenth Amendment) Act, 1962",1962-12-28,Amended Article 170 and inserted Article 371A - special protection for the newly created State of Nagaland.,AMENDMENT_13_BILL.pdf,AMENDMENT_13_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/72_1962_LS_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030265.pdf,AMENDMENT_13_01121963.zip,OK
14,"The Constitution (Fourteenth Amendment) Act, 1962",1962-12-28,"Amended Articles 81 and 240 and Schedules 1 and 4; inserted Article 239A - incorporation of Pondicherry into the Union and creation of Legislative Assemblies for Himachal Pradesh, Tripura, Manipur and Goa.",AMENDMENT_14_BILL.pdf,AMENDMENT_14_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/86_1962_LS_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030241.pdf,AMENDMENT_14_28121962.zip,OK
15,"The Constitution (Fifteenth Amendment) Act, 1963",1963-10-05,"Amended Articles 124, 128, 217, 222, 224, 226, 297, 311 and 316 and inserted Article 224A - raised the retirement age of High Court judges from 60 to 62.",AMENDMENT_15_BILL.pdf,AMENDMENT_15_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/111_1962_LS_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/20231019830058002.pdf,AMENDMENT_15_05101963.zip,OK
16,"The Constitution (Sixteenth Amendment) Act, 1963",1963-10-05,"Amended Articles 19, 84 and 173 and the Third Schedule to make it obligatory for seekers of public office to swear allegiance to the Indian Republic and prescribe the obligatory templates.",AMENDMENT_16_BILL.pdf,AMENDMENT_16_ACT.pdf,https://web.archive.org/web/20230528034129id_/https://eparlib.nic.in/bitstream/123456789/58623/1/jcb_03_1963_constitution_16th_amendment.pdf,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030234-1.pdf,AMENDMENT_16_05101963.zip,OK
17,"The Constitution (Seventeenth Amendment) Act, 1964",1964-06-20,Amended Article 31A and the Ninth Schedule to secure the constitutional validity of acquisition of estates and place land acquisition laws in Schedule 9.,AMENDMENT_17_BILL.pdf,AMENDMENT_17_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/46_1964_LS_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030298.pdf,AMENDMENT_17_20061964.zip,OK
18,"The Constitution (Eighteenth Amendment) Act, 1966",1966-08-27,Amended Article 3 (technical) to include Union Territories and hence permit reorganisation of Union Territories.,AMENDMENT_18_BILL.pdf,AMENDMENT_18_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/39_1966_LS_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030236-1.pdf,AMENDMENT_18_27081966.zip,OK
19,"The Constitution (Nineteenth Amendment) Act, 1966",1966-12-11,Amended Article 324 to abolish Election Tribunals and enable trial of election petitions by regular High Courts.,AMENDMENT_19_BILL.pdf,AMENDMENT_19_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/57_1966_LS_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030255-2.pdf,AMENDMENT_19_11121966.zip,OK
20,"The Constitution (Twentieth Amendment) Act, 1966",1966-12-22,"Inserted Article 233A to indemnify and validate judgments, decrees, orders and sentences passed by judges and to validate the appointment, posting, promotion and transfer of judges, barring a few ineligible under Article 233.",AMENDMENT_20_BILL.pdf,AMENDMENT_20_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/89_1966_LS_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/20230302100.pdf,AMENDMENT_20_22121966.zip,OK
21,"The Constitution (Twenty-first Amendment) Act, 1967",1967-04-10,Amended the Eighth Schedule to include Sindhi as an official language.,MISSING,AMENDMENT_21_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030216-3.pdf,AMENDMENT_21_10041967.zip,MISSING_BILL
22,"The Constitution (Twenty-second Amendment) Act, 1969",1969-09-25,Amended Article 275 and inserted Articles 244A and 371B - provision to form autonomous states within the State of Assam.,AMENDMENT_22_BILL.pdf,AMENDMENT_22_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/34_1969_LS-ENG..pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030259-2.pdf,AMENDMENT_22_25091969.zip,OK
23,"The Constitution (Twenty-third Amendment) Act, 1969",1970-01-23,"Amended Articles 330, 332, 333 and 334 - discontinued reservation of seats for STs in Nagaland, and extended SC/ST reservation and Anglo-Indian nomination in the Lok Sabha and State Assemblies for another ten years, up to 1980.",AMENDMENT_23_BILL.pdf,AMENDMENT_23_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/78_1969_LS-ENG.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030287-2.pdf,AMENDMENT_23_23011970.zip,OK
24,"The Constitution (Twenty-fourth Amendment) Act, 1971",1971-11-05,Amended Articles 13 and 368 (Article 13(4) added) - enabled Parliament to dilute Fundamental Rights through constitutional amendments; made it compulsory for the President to give consent to a Constitution Amendment Bill.,MISSING,AMENDMENT_24_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030215.pdf,AMENDMENT_24_05111971.zip,MISSING_BILL
25,"The Constitution (Twenty-fifth Amendment) Act, 1971",1972-04-20,Amended Article 31 and inserted Article 31C to restrict property rights and compensation in case the state takes over private property.,MISSING,AMENDMENT_25_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030251-2.pdf,AMENDMENT_25_20041972.zip,MISSING_BILL
26,"The Constitution (Twenty-sixth Amendment) Act, 1971",1971-12-28,"Amended Article 366, inserted Article 363A and removed Articles 291 and 362 - abolition of privy purse paid to former rulers of princely states.",MISSING,AMENDMENT_26_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/20231019850001859.pdf,AMENDMENT_26_28121971.zip,MISSING_BILL
27,"The Constitution (Twenty-seventh Amendment) Act, 1971",1971-12-30,Amended Articles 239A and 240 and inserted Articles 239B and 371C - reorganisation of Mizoram into a Union Territory with a legislature and council of ministers.,AMENDMENT_27_BILL.pdf,AMENDMENT_27_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/Adobe%20Scan%2011%20May%202026-1511202643636PM.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030285.pdf,AMENDMENT_27_15021972.zip,OK
28,"The Constitution (Twenty-eighth Amendment) Act, 1972",1972-08-27,Inserted Article 312A and removed Article 314 to rationalise Civil Service rules and make them uniform across those appointed prior to and post Independence.,MISSING,AMENDMENT_28_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030233.pdf,AMENDMENT_28_29081972.zip,MISSING_BILL
29,"The Constitution (Twenty-ninth Amendment) Act, 1972",1972-06-09,Amended the Ninth Schedule to place the 'Kerala land reform acts' and amendments to these acts beyond challenge.,MISSING,AMENDMENT_29_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030227.pdf,AMENDMENT_29_09061972.zip,MISSING_BILL
30,"The Constitution (Thirtieth Amendment) Act, 1972",1973-02-22,Amended Article 133 to change the basis for appeals to the Supreme Court in civil suits from value criteria to a substantial question of law.,MISSING,AMENDMENT_30_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030255-1.pdf,AMENDMENT_30_27021973.zip,MISSING_BILL
31,"The Constitution (Thirty-first Amendment) Act, 1973",1973-10-17,"Amended Articles 81, 330 and 332 to increase the size of Parliament from 525 to 545 seats, with adjustment consequent to the 1971 Delimitation.",MISSING,AMENDMENT_31_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030259-1.pdf,AMENDMENT_31_17101973.zip,MISSING_BILL
32,"The Constitution (Thirty-second Amendment) Act, 1973",1974-05-03,Amended Article 371 and the Seventh Schedule and inserted Articles 371D and 371E - protection of regional rights in the Telangana and Andhra regions of the State of Andhra Pradesh.,MISSING,AMENDMENT_32_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030213.pdf,AMENDMENT_32_01071974.zip,MISSING_BILL
33,"The Constitution (Thirty-third Amendment) Act, 1974",1974-05-19,Amended Articles 101 and 190 to prescribe the procedure for resignation of members of Parliament and State Legislatures and its verification and acceptance by the Speaker.,MISSING,AMENDMENT_33_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030224-1.pdf,AMENDMENT_33_19051974.zip,MISSING_BILL
34,"The Constitution (Thirty-fourth Amendment) Act, 1974",1974-09-07,Amended the Ninth Schedule to place land reform acts and amendments to these acts beyond challenge.,MISSING,AMENDMENT_34_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030277.pdf,AMENDMENT_34_07091974.zip,MISSING_BILL
35,"The Constitution (Thirty-fifth Amendment) Act, 1974",1975-02-22,"Amended Articles 80 and 81, inserted Article 2A and a Tenth Schedule - terms and conditions for the incorporation of Sikkim into the Union of India.",MISSING,AMENDMENT_35_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030275.pdf,AMENDMENT_35_01031975.zip,MISSING_BILL
36,"The Constitution (Thirty-sixth Amendment) Act, 1975",1975-05-16,Amended Articles 80 and 81 and Schedules 1 and 4; inserted Article 371F and removed Article 2A and the temporary Tenth Schedule - formation of Sikkim as a State within the Indian Union.,MISSING,AMENDMENT_36_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030232-2.pdf,AMENDMENT_36_26041975.zip,MISSING_BILL
37,"The Constitution (Thirty-seventh Amendment) Act, 1975",1975-05-03,Amended Articles 239A and 240 to provide for the formation of the Arunachal Pradesh Legislative Assembly.,MISSING,AMENDMENT_37_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030251-1.pdf,AMENDMENT_37_03051975.zip,MISSING_BILL
38,"The Constitution (Thirty-eighth Amendment) Act, 1975",1975-08-01,"Amended Articles 123, 213, 239B, 352, 356, 359 and 360 to enhance the powers of the President and Governors to pass ordinances.",MISSING,AMENDMENT_38_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030225.pdf,AMENDMENT_38_01081975.zip,MISSING_BILL
39,"The Constitution (Thirty-ninth Amendment) Act, 1975",1975-08-10,"Amended Articles 71 and 329 and the Ninth Schedule; inserted Article 329A to negate the Allahabad High Court judgment in Raj Narain invalidating PM Indira Gandhi's election and restrict judicial scrutiny of the posts of President, Vice President, Speaker of the Lok Sabha and Prime Minister.",MISSING,AMENDMENT_39_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030253.pdf,AMENDMENT_39_10081975.zip,MISSING_BILL
40,"The Constitution (Fortieth Amendment) Act, 1976",1976-05-27,"Amended Article 297 and the Ninth Schedule to enable Parliament to make laws with respect to the Exclusive Economic Zone, vest mineral wealth with the Union of India, and place land reform and other acts in Schedule 9.",AMENDMENT_40_BILL.pdf,AMENDMENT_40_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/60_1976_LS_E.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030231-2.pdf,AMENDMENT_40_27051976.zip,OK
41,"The Constitution (Forty-first Amendment) Act, 1976",1976-09-07,Amended Article 316 to raise the retirement age of Chairmen and Members of Joint Public Service Commissions and State Public Service Commissions from 60 to 62.,AMENDMENT_41_BILL.pdf,AMENDMENT_41_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/85_1976_LS_E.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030240-1.pdf,AMENDMENT_41_07091976.zip,OK
42,"The Constitution (Forty-second Amendment) Act, 1976",1976-12-18,"Passed during the Internal Emergency: amended the Preamble ('Sovereign Socialist Secular Democratic Republic') and Articles 31, 31C, 39, 55, 74, 77, 81, 82, 83, 100, 102, 103, 105, 118, 145, 150, 166, 170, 172, 189, 191, 192, 194, 208, 217, 225, 226, 227, 228, 311, 312, 330, 352, 353, 356, 357, 358, 359, 366, 368 and 371F and the Seventh Schedule; inserted Part IVA (Fundamental Duties), Part XIVA (Tribunals) and Articles 31D, 32A, 39A, 43A, 48A, 131A, 139A, 144A, 226A, 228A and 257A.",AMENDMENT_42_BILL.pdf,AMENDMENT_42_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/91_1976_LS_E.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030290.pdf,AMENDMENT_42_01041977.zip,OK
43,"The Constitution (Forty-third Amendment) Act, 1977",1978-04-13,"Passed after revocation of the Internal Emergency: amended Articles 145, 226, 228 and 366 and removed Articles 31D, 32A, 131A, 144A, 226A and 228A - repealed some of the more anti-freedom amendments enacted through the 42nd Amendment Bill.",AMENDMENT_43_BILL.pdf,AMENDMENT_43_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/148_1977_LS_E.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030288-1.pdf,AMENDMENT_43_13041978.zip,OK
44,"The Constitution (Forty-fourth Amendment) Act, 1978",1979-04-30,"Passed after revocation of the Internal Emergency: amended Articles 19, 22, 30, 31A, 31C, 38, 71, 74, 77, 83, 103, 105, 123, 132, 133, 134, 139A, 150, 166, 172, 192, 194, 213, 217, 225, 226, 227, 239B, 329, 352, 356, 358, 359, 360 and 371F; inserted Articles 134A and 361A; removed Articles 31, 257A and 329A; omitted Article 19(1)(f) (right to property) - restored human rights safeguards and checks on executive and legislative authority.",AMENDMENT_44_BILL.pdf,AMENDMENT_44_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/88_1978_LS_E.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030242-2.pdf,AMENDMENT_44_06091979.zip,OK
45,"The Constitution (Forty-fifth Amendment) Act, 1980",1980-04-14,"Amended Article 334 to extend reservation for SCs and STs and nomination of Anglo-Indian members in Parliament and State Assemblies for another ten years, up to 1990.",AMENDMENT_45_BILL.pdf,AMENDMENT_45_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/1_1980_LS_E.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030234.pdf,AMENDMENT_45_25011980.zip,OK
46,"The Constitution (Forty-sixth Amendment) Act, 1982",1983-02-02,"Amended Articles 269, 286 and 366 and the Seventh Schedule to negate judicial pronouncements on the scope and applicability of sales tax.",MISSING,AMENDMENT_46_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030250-1.pdf,AMENDMENT_46_02021983.zip,MISSING_BILL
47,"The Constitution (Forty-seventh Amendment) Act, 1984",1984-08-26,Amended the Ninth Schedule to place land reform acts and amendments to these acts beyond challenge.,AMENDMENT_47_BILL.pdf,AMENDMENT_47_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/94_1983_LS_E.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030271-1.pdf,AMENDMENT_47_26081984.zip,OK
48,"The Constitution (Forty-eighth Amendment) Act, 1984",1984-08-26,Amended Article 356 to permit President's rule for up to two years in the State of Punjab.,MISSING,AMENDMENT_48_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030293.pdf,AMENDMENT_48_01041985.zip,MISSING_BILL
49,"The Constitution (Forty-ninth Amendment) Act, 1984",1984-09-11,Amended Article 244 and Schedules 5 and 6 to recognise Tripura as a tribal state and enable the creation of a Tripura Tribal Areas Autonomous District Council.,MISSING,AMENDMENT_49_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030262.pdf,AMENDMENT_49_11091984.zip,MISSING_BILL
50,"The Constitution (Fiftieth Amendment) Act, 1984",1984-09-11,Amended Article 33 (technical) to extend the curtailment of Fundamental Rights under Part III to security personnel protecting property and communication infrastructure.,MISSING,AMENDMENT_50_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030216-2.pdf,AMENDMENT_50_11091984.zip,MISSING_BILL
51,"The Constitution (Fifty-first Amendment) Act, 1984",1985-04-29,"Amended Articles 330 and 332 to provide reservation to Scheduled Tribes in Nagaland, Meghalaya, Mizoram and Arunachal Pradesh in the Lok Sabha and their Legislative Assemblies.",MISSING,AMENDMENT_51_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030288.pdf,AMENDMENT_51_16061986.zip,MISSING_BILL
52,"The Constitution (Fifty-second Amendment) Act, 1985",1985-02-15,"Inserted the Tenth Schedule (Anti-Defection Law) and amended Articles 101, 102, 190 and 191 - disqualification of members of Parliament and State Legislatures on defection from one party to another.",AMENDMENT_52_BILL.pdf,AMENDMENT_52_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/22_1985_LS_En.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030250.pdf,AMENDMENT_52_01031985.zip,OK
53,"The Constitution (Fifty-third Amendment) Act, 1986",1986-08-14,Inserted Article 371G - special provision with respect to the State of Mizoram.,AMENDMENT_53_BILL.pdf,AMENDMENT_53_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/88_1986_LS_ENG.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030270-1.pdf,AMENDMENT_53_20021987.zip,OK
54,"The Constitution (Fifty-fourth Amendment) Act, 1986",1987-03-14,Amended Articles 125 and 221 and the Second Schedule to increase the salary of the Chief Justice of India and other judges and provide for determining future increases without constitutional amendment.,AMENDMENT_54_BILL.pdf,AMENDMENT_54_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/95_1986_LS_ENG.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030282.pdf,AMENDMENT_54_14031987.zip,OK
